destination,budget,days,travel_with,group_size,stay,views_rating,nightlife_rating,food_rating,itinerary
Kaziranga,5000,2,All Male,7,Homestay,4,1.0,2,"Day 1: Morning jeep safari in the Central Range of Kaziranga National Park to spot one-horned rhinos, elephants and wild buffalo; afternoon at leisure near the park. Day 2: Sunrise elephant-back or jeep safari in the Western Range, then visit the Kaziranga Orchid and Biodiversity Park before heading back."
Shillong,3000,2,All Male,8,Homestay,4,4.0,3,"Day 1: Arrive Shillong, visit Ward's Lake, Lady Hydari Park and Police Bazaar in the evening. Day 2: Day trip to Umiam Lake and Shillong Peak viewpoint, then Elephant Falls before departure."
Shillong and Cherrapunji ,7000,3,All Male,6,Homestay,5,3.0,4,"Day 1: Arrive Shillong, explore Police Bazaar and Ward's Lake. Day 2: Drive to Cherrapunji via Mawkdok Dympep Valley viewpoint; visit Nohkalikai Falls and Seven Sisters Falls. Day 3: Trek to Nohsngithiang (Mawsmai) Falls and explore Mawsmai limestone caves before returning."
Ziro village arunachal pradesh ,6850,4,All Male,5,Hotels,4,1.0,3,"Day 1: Arrive Ziro Valley, settle into a homestay and stroll through an Apatani village. Day 2: Visit the pine groves, Talley Valley Wildlife Sanctuary viewpoint and local paddy-cum-fish farms. Day 3: Explore Hong village, Tarin Fish Farm and the Ziro festival ground. Day 4: Relaxed morning walk through Old Ziro market before departure."
Dzokou,5000,3,All Male,6,Homestay,5,4.0,3,Day 1: Drive/trek to the base of Dzukou Valley and begin the ascent to the guesthouse. Day 2: Full day exploring the valley's rolling meadows and seasonal Dzukou lily blooms. Day 3: Trek back down and return.
"Sikkim, Meghalaya ( Bulls treak, Bamboo treak, Nongjrong, David Scott Trail)",6000,5,All Male,15 and 5 respectively ,Homestay,5,3.0,5,"Day 1: Arrive Meghalaya, start the Bulls trek. Day 2: Continue with the Bamboo trek through the forest trails. Day 3: Trek to Nongjrong village. Day 4: Hike the historic David Scott Trail. Day 5: Travel onward into Sikkim for a final day of sightseeing before departure."
"Sikkim, bhutan border, cherapunjee",2500,2,All Female,"On shillong visit 14, other time 4",Hostels,4,1.0,3,"Day 1: Visit Cherrapunji viewpoints (Nohkalikai Falls, Seven Sisters Falls) and explore nearby villages close to the Bhutan/Sikkim border region. Day 2: Short local sightseeing before departure."
"Shillong, Laitlum, Cherapunji ",6500,4,All Male,6,Hotels,5,4.0,4,"Day 1: Arrive Shillong, visit Ward's Lake and Police Bazaar. Day 2: Sunset at Laitlum Canyon. Day 3: Drive to Cherrapunji, covering Nohkalikai Falls and the Mawsmai Caves. Day 4: Visit Seven Sisters Falls and Dainthlen Falls before heading back."
Pobitora Wildlife Sanctuary ,5000,1,Family,4,Didn't stay,4,1.0,3,"Day 1: Morning jeep or boat safari at Pobitora Wildlife Sanctuary to spot the dense population of Indian rhinos, followed by return in the evening."
"Cherapunji, shilong.",1750,1,All Male,10,No stay,5,3.0,3,We departed from our college early morning around 8 and in a minibus with 10 of us in total and made our way to cherapunji with some viewpoints like umiam lake in the way.
